Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_short_tons,Average_Employees,Labor_Hours
2020,4801078,Eagle Butte Mine,Wyoming,Campbell,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Eagle Specialty Materials Llc,"P.O. Box 3040, Gillette, WY 82717",,Powder River Basin,12303698,229,392894
2020,4801200,Buckskin Mine,Wyoming,Campbell,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Buckskin Mining Company,"P.O. Box 3027, Gillette, WY 82717",,Powder River Basin,9699282,176,375894
2020,4801215,Coal Creek Mine,Wyoming,Campbell,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Thunder Basin Coal Company Llc,"P.O. Box 406, Wright, WY 82732",,Powder River Basin,2141507,63,140110
2020,4801353,North Antelope Rochelle Mine,Wyoming,Campbell,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Powder River Mining Ll,"Caller Box 3035, Gillette, WY 82717",,Powder River Basin,66111840,1058,2111746
2020,4801429,Dry Fork Mine,Wyoming,Campbell,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Western Fuels-Wyoming Inc,"3629 N Garner Lake Rd, Gillette, WY 82716",,Powder River Basin,3924629,69,131074
2020,4801337,Antelope Coal Mine,Wyoming,Converse,Active,Surface,Independent Producer Operator,Mine only,Navajo Transitional Energy Com,"P.O. Box 3001, Gillette, WY 82717",,Powder River Basin,19809826,514,979689
2020,4800086,Kemmerer Mine,Wyoming,Lincoln,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Kemmerer Operations, Llc","P.O. Box 950, Kemmerer, WY 83101",United Mine Workers Of America,Western,2474942,250,415744
2020,4800677,Jim Bridger Mine,Wyoming,Sweetwater,Active,Surface,Operating Subsidiary,Mine only,Bridger Coal Company,"P.O. Box 68, Point Of Rock, WY 82942",Western Energy Workers,Western,1454849,225,437003
2020,4801180,Black Butte And Leucite Hills,Wyoming,Sweetwater,Active,Surface,Operating Subsidiary,Mine only,Black Butte Coal Company,"P.O. Box 98, Point Of Rock, WY 82942",,Western,2216235,147,282355
2020,4801646,Bridger Underground Coal Mine,Wyoming,Sweetwater,Active,Underground,Operating Subsidiary,Mine only,Bridger Coal Company,"1088 Nine Mile Road, Point Of Rock, WY 82942",Western Energy Workers,Western,2424369,139,314869
2020,3608871,Mid Valley Bank,Refuse Recovery,Columbia,Active,Refuse,Independent Producer Operator,Mine only,"Mid-Valley Coal Sales, Inc.","212 W. Cherry St., Mt. Carmel, PA 17851",,Appalachia Northern,9827,3,2880
2020,4609544,P610,Refuse Recovery,Logan,Active,Refuse,Independent Producer Operator,Mine only,"Holy Smoke Coal, Llc","P.O. Box 284, Holden, WV 25625",,Appalachia Central,102373,5,12850
2020,4407395,Gay Branch #1,Refuse Recovery,Dickenson,Permanently abandoned,Refuse,Independent Producer Operator,Mine only,Mountain Fuels Inc.,"P.O. Box 749, Abingdon, VA 24212",,Appalachia Central,118620,10,10828
2020,4407404,Clinchco #1,Refuse Recovery,Dickenson,Active,Refuse,Independent Producer Operator,Mine only,Mountain Fuels Inc.,"P.O. Box 749, Abingdon, VA 24212",,Appalachia Central,23188,7,3368
2020,3608399,No 7 Operation,Refuse Recovery,Luzerne,Active,Refuse,Independent Producer Operator,Mine only,Emerald Anthracite Ii,"31 North Market Street, Nanticoke, PA 18634",,Appalachia Northern,11032,5,2565
2020,1103131,Bcr Mine #1,Refuse Recovery,Perry,Active,Refuse,Independent Producer Operator,Mine only,"Bc Recovery, Llc","2206 Samuel Stuart Ct., Chesterfield, MO 63005",,Illinois Basin,191453,12,20906
2019,103489,John Poe Mine,Alabama,De Kalb,Active,Surface,Indepedent Producer Operator,Mine only,Kennedy Brothers Construction,"756 Co. Rd 676, Fort Payne, AL 35968",,Appalachia Southern,2913,2,720
2019,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Preparation Plant,Murray Oak Grove Coal Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,58,152268
2019,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,259730,40,112709
2019,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Murray Oak Grove Coal Llc,"8360 Taylors Ferry Rd, Bessemer, AL 35023",United Mine Workers Of America,Appalachia Southern,1364382,456,1094695
2019,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,6247986,869,2244324
2019,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Cane Creek, Llc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,10,19691
2019,103180,Sloan Mountain Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,37435,17,22711
2019,103285,Narley Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,122603,18,49724
2019,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Alaco L.L.C.,"301 Matthews Drive, Jasper, AL 35503",,Appalachia Southern,200197,41,96867
2019,103432,Skelton Creek,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Southern Mineral Resources , L","15111 Howton Loop Road, Brookwood, AL 35444",,Appalachia Southern,17985,3,4565
2019,103437,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,276912,58,151212
2019,103455,Weller Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,Appalachia Southern,132105,27,69999
2019,103523,Shannon Mine No. 3,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Rjr Mining Company, Inc.","P.O. Box 1253, Cullman, AL 35056",,Appalachia Southern,174831,24,50796
2019,103529,Sloan Mtn. No. 3,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Ms&r Equipment Co., Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,65626,30,56667
2019,103393,Buttahatchee Mine No 1,Alabama,Marion,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,77299,8,21852
2019,102976,Piney Woods Preparation Plant,Alabama,Shelby,Temporarily closed,Surface,Indepedent Producer Operator,Preparation Plant,"Camellia Met Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,0,11,16871
2019,102976,Piney Woods Preparation Plant,Alabama,Shelby,Temporarily closed,Underground,Indepedent Producer Operator,Preparation Plant,"Camellia Met Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,0,1,2085
2019,103380,Calera,Alabama,Shelby,Active,Surface,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,8,14808
2019,103380,Calera,Alabama,Shelby,Active,Underground,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,1,1645
2019,103500,Murry Creek Surface Mine,Alabama,Shelby,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Camellia Met Mining, Llc","3400 County Road 260, Alabaster, AL 35114",,Appalachia Southern,10990,7,19510
2019,103503,Lolley Mine No. 1,Alabama,Shelby,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Camellia Met Mining, Llc","1615 Kent Dairy Road, Alabaster, AL 35007",,Appalachia Southern,2370,39,96852
2019,101247,No 4 Mine,Alabama,Tuscaloosa,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","14730 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,2221242,391,1151338
2019,103172,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,Appalachia Southern,208028,70,164853
2019,103436,Swann's Crossing,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","5710 University Blvd East, Cottondale, AL 35453",,Appalachia Southern,41281,39,23954
2019,103487,Carter Mine,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490",,Appalachia Southern,14037,10,5280
2019,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Cedar Lake Mining, Inc.","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,196734,57,143315
2019,102901,Shoal Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 327, Oakman, AL 35579",United Mine Workers Of America,Appalachia Southern,0,1,545
2019,102901,Shoal Creek Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 327, Oakman, AL 35579",United Mine Workers Of America,Appalachia Southern,1868840,467,1077430
2019,103155,Corinth Prep Plant,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Preparation Plant,Prospect Mining & Development,"2002 2nd Avenue, Jasper, AL 35501",,Appalachia Southern,0,1,1280
2019,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Preparation Plant,Prospect Mining & Development,"2002 2nd Avenue, Jasper, AL 35501",,Appalachia Southern,0,17,41402
